player_id,display_name,position,team,fantasy_pts,fantasy_pts_low,fantasy_pts_high,projected_games,fantasy_pts_season,source,low_confidence,role,depth_chart_status,depth_rank,season,team_identity_scale
00-0041180,Quentin Moore,TE,WAS,1.4733896796247172,1.1559187377288394,6.946899192719674,15.0,20.731886710114818,rookie_rule,True,depth,listed,6.0,2026,0.9380585460774765
00-0036271,Quez Watkins,WR,PHI,1.4629875235864955,0.3185248765261644,9.313194900775729,7.75,10.748621648211284,v2_team_first,True,depth,listed,8.0,2026,0.9480046138396512
00-0034613,Tanner Hudson,TE,CIN,1.462276406862548,0.268014510553043,6.935785919957505,12.45,17.014507328445127,v2_team_first,True,depth,listed,3.0,2026,0.9345887605384092
00-0041081,Max Bredeson,RB,MIN,1.4612810788640136,1.1817442846164392,8.893525285399473,15.0,21.241196878538165,rookie_rule,True,,,,2026,0.9690673562976613
00-0040785,Dohnte Meyers,WR,CIN,1.4611175735372093,0.9828196557149576,9.311324950726444,15.0,20.483362879421097,rookie_rule,True,depth,listed,12.0,2026,0.9345979748836167
00-0040590,Konata Mumpfield,WR,LA,1.4581314449953502,0.2477009999682514,9.308338822184584,13.12,18.385017729856244,v2_team_first,True,depth,listed,5.0,2026,0.9610224701469077
00-0041070,Reggie Virgil,WR,ARI,1.4560494858720072,0.9401440424557068,9.30625686306124,15.0,20.441532553848596,rookie_rule,True,depth,listed,6.0,2026,0.9359357976127418
00-0040522,Xavier Restrepo,WR,TEN,1.4409356942314495,0.2539667598897486,9.291143071420684,10.12,13.950187359195189,v2_team_first,True,depth,listed,9.0,2026,0.9566540806065725
00-0041229,E.J. Horton,WR,IND,1.4388702114621736,0.7757478300819157,9.289077588651406,15.0,20.17870408151136,rookie_rule,True,depth,listed,10.0,2026,0.9349327882744823
00-0041399,C.J. Daniels,WR,LA,1.435741679618654,0.7735328275736066,9.285949056807889,15.0,20.696677254512394,rookie_rule,True,depth,listed,6.0,2026,0.9610214032378314
00-0041216,Trebor Pena,WR,JAX,1.4248487114975257,0.9005732775213504,9.27505608868676,15.0,20.041781161364934,rookie_rule,True,depth,listed,12.0,2026,0.9377267448182098
